communityName,state,population,householsize,agePct12t21,agePct12t29,agePct16t24,agePct65up,pctWSocSec,pctWPubAsst,PctUsePubTrans,PctPopUnderPov,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctEmplManu,PctEmplProfServ,PctOccupManu,PctOccupMgmtProf,PersPerFam,PctFam2Par,PctKids2Par,PctYoungKids2Par,PctTeen2Par,PctWorkMomYoungKids,PctWorkMom,PctKidsBornNeverMar,HousVacant,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,LemasPctOfficDrugUn,ViolentCrimesPerPop,has_pp_access,PctFedEduFunding,PctStateEduFunding,PctLocalEduFunding
Millville,NJ,25992,2.7,14.61,27.19,13.33,12.33,30.87,7.95,1.56,11.53,10.98,30.16,11.64,6.41,61.39,25.79,20.31,18.4,20.15,3.16,65.95,60.05,65.13,71.51,54.72,68.74,6.42,0.019621421975992613,94.98,63.15,5.88,44.31,0.0,952.56,0,3.87,71.41,24.72
Milpitas,CA,50686,3.6,13.26,29.39,13.21,4.59,11.41,7.01,3.02,4.9,7.41,19.05,24.89,4.86,68.0,41.3,13.63,14.27,29.83,3.63,80.2,73.15,89.53,80.31,69.66,74.75,3.73,0.007220928856094385,97.47,69.61,1.37,10.93,0.0,327.36,0,3.74,44.11,52.15
Milton,MA,25725,2.94,13.21,23.55,12.96,15.63,36.59,3.99,10.43,3.04,2.43,7.96,43.13,4.52,61.75,7.91,36.93,4.43,47.21,3.32,86.06,86.33,95.74,90.82,67.5,73.99,0.85,0.009873663751214772,97.18,82.51,1.18,35.83,0.0,200.02,0,2.81,16.67,80.51
Milwaukee,WI,628088,2.61,14.66,29.77,14.74,11.04,27.11,15.32,11.14,22.22,9.81,28.5,14.83,8.88,58.32,22.24,24.82,18.94,21.31,3.21,52.28,47.51,56.66,53.19,58.1,65.79,12.11,0.021754913324247557,94.62,44.77,11.21,35.5,3.7574352638483775e-06,966.16,1,8.950740740740741,54.175185185185185,36.86851851851852
Mineral Wells,TX,14870,2.73,14.36,26.34,12.69,14.45,35.8,10.95,0.69,23.17,15.47,37.38,11.25,9.68,49.91,27.11,22.3,21.63,20.31,3.11,71.73,64.87,74.77,74.59,49.06,62.07,2.67,0.05460659045057162,87.02,65.69,5.67,57.27,0.0,683.46,0,8.58,60.05,31.36
Minneapolis,MN,368383,2.29,12.32,30.92,15.25,10.92,22.69,10.55,16.42,18.53,6.54,17.42,30.3,6.67,64.45,14.13,30.89,11.72,31.78,2.97,57.57,54.43,64.94,57.7,60.21,66.95,8.98,0.032531360024756845,93.06,49.69,6.3,27.06,5.727734450286794e-06,1811.81,1,4.166666666666667,42.55254901960784,53.28
Minot,ND,34544,2.47,15.63,29.41,15.2,12.29,27.78,6.05,0.36,14.25,10.09,18.45,21.06,5.63,62.47,4.83,28.89,11.37,25.59,3.03,75.2,75.18,79.78,72.3,69.03,73.51,1.89,0.031119731357109773,92.85,60.19,1.21,42.51,0.0,104.17,0,10.36,44.95,44.69
Mission,TX,28653,3.45,18.57,29.66,14.96,13.32,37.11,16.45,0.42,37.33,34.49,47.39,12.19,12.14,44.13,9.34,24.56,15.48,19.89,3.8,74.52,68.65,80.79,77.7,48.72,54.71,1.85,0.08177154224688514,78.02,71.55,2.6,24.29,0.0,178.75,0,8.07,75.04,16.89
Mission Viejo,CA,72820,2.89,14.31,24.75,11.58,7.47,15.65,1.79,0.62,1.96,1.38,6.33,39.1,2.9,72.49,18.78,22.33,5.18,39.89,3.2,85.98,85.36,94.05,87.05,55.4,65.83,0.63,0.016739906619060697,95.38,80.0,0.08,24.77,0.0,225.56,1,3.395,38.705,57.9
Mitchell,SD,13798,2.43,14.19,25.73,13.34,15.79,37.04,7.67,0.22,14.51,14.39,24.49,15.45,4.67,62.6,16.29,28.86,15.87,23.11,3.07,78.07,77.55,80.63,82.19,79.01,82.19,1.18,0.027757646035657342,93.68,56.2,1.04,50.65,0.0,198.79,0,5.87,41.08,53.05
Moberly,MO,12839,2.46,14.38,25.65,12.85,16.85,36.52,6.53,0.55,18.27,14.83,31.36,14.2,8.52,54.24,16.5,27.13,18.42,22.34,3.0,71.13,67.77,74.34,75.51,73.71,76.08,2.49,0.04813458992133344,89.41,65.74,0.65,53.4,0.0,985.03,0,8.45,43.86,47.68
Mobile,AL,196278,2.6,15.09,27.92,13.99,12.37,29.3,8.39,1.59,22.43,9.0,25.16,21.42,9.13,55.14,12.85,29.01,12.65,28.76,3.15,61.16,55.21,66.09,60.95,62.67,68.03,7.64,0.0375742569213055,91.09,58.07,6.83,44.15,2.5117435474174384e-05,1076.95,1,13.08,66.86,20.06
Modesto,CA,164730,2.84,14.15,27.02,12.28,9.41,22.98,13.19,0.9,12.98,10.05,25.21,15.82,8.9,58.57,17.31,23.48,15.09,24.01,3.29,73.47,70.49,80.7,76.98,51.23,60.5,2.73,0.01772597583925211,95.2,58.46,1.2,14.76,4.4739877375098646e-05,813.57,1,8.582857142857142,56.675714285714285,34.74
Monroe,WI,10241,2.32,12.28,24.1,10.79,15.8,32.83,5.79,0.04,6.46,11.36,21.34,14.48,4.21,66.64,25.32,25.34,20.5,22.32,2.94,75.61,76.52,83.9,78.98,78.79,83.02,1.13,0.014744653842398203,96.69,63.61,0.0,33.11,0.0,84.64,0,8.384444444444446,50.23,41.38777777777778
Monrovia,CA,35761,2.7,12.7,28.61,13.22,9.73,23.06,8.38,3.44,12.37,9.43,22.7,19.72,6.2,65.73,17.95,22.88,12.8,27.64,3.23,67.59,63.13,75.88,68.21,55.76,63.9,6.86,0.01963032353681385,94.97,46.99,2.28,18.95,0.0,939.47,0,9.59,59.15,31.26
Montclair,CA,28434,3.33,15.59,30.74,15.05,7.06,21.6,12.11,1.8,16.75,11.57,31.87,10.12,7.57,64.4,23.63,18.3,21.56,17.44,3.64,70.88,63.73,79.41,71.29,56.07,62.1,4.4,0.013258774706337483,95.77,61.41,2.39,12.47,0.0,1307.21,1,4.66,43.11,52.224999999999994
Montebello,CA,59564,3.2,15.23,30.73,15.46,10.8,26.82,13.72,5.98,14.0,20.28,39.19,14.61,6.73,58.24,21.31,19.57,18.88,21.63,3.59,66.71,60.37,76.26,68.11,51.74,56.68,5.88,0.009653481968974548,97.0,48.35,2.26,25.22,0.0,1285.83,0,10.25,62.55,27.21
Monterey,CA,31954,2.52,13.54,32.59,16.84,11.38,20.99,3.81,2.65,6.58,4.75,11.47,39.85,2.23,71.32,6.8,28.83,6.67,35.63,2.86,78.34,76.53,93.26,75.31,49.35,61.26,1.4,0.025161169180697253,94.04,35.76,0.62,10.2,0.0,874.44,0,18.16,45.8,36.04
Monterey Park,CA,60738,3.11,13.89,28.54,14.13,12.85,24.57,13.8,4.88,16.42,16.24,30.03,22.41,6.15,55.44,15.74,22.46,12.57,28.22,3.49,74.34,68.82,82.73,78.04,54.93,57.29,2.78,0.013056076920543976,96.09,54.93,1.39,16.39,9.401033949092825e-05,893.29,0,10.879999999999999,63.59,25.53
Montgomery,AL,187106,2.67,15.6,28.57,14.27,10.53,25.73,8.47,1.54,18.08,8.69,24.25,24.61,7.0,61.38,10.31,25.84,12.49,28.55,3.2,63.65,57.12,70.79,63.2,68.14,73.16,7.93,0.03563755304479813,91.3,60.08,7.84,31.51,1.8705974153688283e-05,860.21,0,12.231666666666667,66.44166666666668,21.326666666666668
Montville,NJ,15600,3.19,14.99,24.83,13.06,8.19,21.51,2.23,3.62,0.79,4.36,11.91,38.37,4.7,68.51,18.42,22.31,8.5,41.27,3.38,91.14,89.03,98.75,91.14,48.84,61.85,0.05,0.015192307692307692,95.38,91.49,0.84,48.1,0.0,37.13,0,0.72,9.18,90.1
Moorpark,CA,25494,3.35,12.66,26.08,10.6,3.58,10.3,3.37,0.23,4.29,6.97,14.67,28.42,3.58,76.51,24.04,16.8,10.38,34.67,3.57,88.3,84.09,95.25,91.02,59.5,67.88,1.8,0.011532125205930808,96.29,80.15,0.0,12.24,0.0,236.6,0,4.14,55.22,40.64
Moreno Valley,CA,118779,3.4,15.01,28.36,11.68,3.81,12.35,7.71,0.91,8.36,5.78,18.18,14.29,7.31,67.57,16.76,18.96,14.02,22.67,3.64,81.18,77.12,87.41,80.2,55.35,63.74,3.17,0.025088609939467415,92.15,74.03,1.58,18.39,0.0,1201.33,1,7.452500000000001,71.215,21.3325
Morgan Hill,CA,23928,3.06,15.48,26.99,12.57,6.84,17.1,5.48,2.4,4.51,6.06,16.58,28.06,3.7,70.24,25.15,20.0,10.16,32.57,3.35,80.97,76.24,88.76,82.06,57.06,68.94,1.77,0.014585422935473085,95.72,71.5,2.01,22.35,0.0,479.52,0,3.82,34.74,61.44
Morganton,NC,15085,2.49,11.74,23.82,11.61,16.43,33.49,5.61,0.13,10.6,18.01,35.02,18.81,4.05,56.38,33.35,32.64,21.29,29.55,2.8,65.71,61.77,77.52,64.88,65.76,76.39,3.43,0.03380841895923102,92.22,59.99,1.96,48.63,0.0,503.48,0,5.75,66.25,28.0
Moscow,ID,18519,2.82,26.99,48.06,34.73,6.61,15.35,3.72,0.12,23.4,3.54,7.68,48.53,6.09,56.08,3.16,49.38,5.79,36.91,2.98,79.84,81.25,91.9,80.04,59.63,69.85,2.28,0.00955775149846104,97.38,42.05,3.39,29.38,0.0,159.72,0,4.4,47.37,48.23
Moses Lake,WA,11235,2.6,14.59,25.62,12.02,13.36,27.62,10.28,0.09,15.28,12.99,26.49,14.51,6.5,57.18,18.92,22.82,16.52,24.61,3.12,75.49,73.66,84.59,76.77,61.08,71.15,1.84,0.02857142857142857,93.07,62.56,2.18,38.94,0.0,1143.9,1,5.07,79.53,15.4
Moss Point,MS,17837,2.98,18.65,28.08,14.11,10.6,31.74,13.06,0.29,22.72,13.53,35.31,10.42,15.88,49.5,37.93,20.08,23.29,17.55,3.43,63.09,52.86,71.58,68.57,64.33,68.56,7.62,0.03492739810506251,90.57,77.4,10.43,60.67,0.0,765.29,0,12.32,57.86,29.82
Moultrie,GA,14865,2.72,15.31,26.01,13.0,15.22,34.29,20.81,0.39,34.5,23.43,45.64,13.36,7.72,51.85,26.48,24.1,24.48,22.06,3.19,48.56,40.76,46.97,46.76,60.04,66.85,7.42,0.03733602421796166,90.8,53.15,3.96,46.85,0.0,1278.63,0,10.09,68.21,21.69
Moundsville,WV,10753,2.53,13.06,23.38,11.62,17.01,39.86,10.0,0.11,16.7,14.37,35.59,8.71,9.34,43.98,14.97,25.51,18.5,19.88,2.95,72.67,66.92,78.98,84.27,48.0,61.72,1.72,0.03347902910815587,92.2,68.48,4.17,56.94,0.0,36.91,0,4.6,55.81,39.58
Mount Holly,NJ,10639,2.91,14.57,27.24,13.28,11.35,28.79,9.94,2.79,13.81,9.47,27.44,17.3,6.97,59.88,15.88,24.53,17.89,20.98,3.24,63.85,55.88,69.92,57.16,55.77,68.67,7.51,0.015602970203966539,95.66,68.77,12.05,37.95,0.0,1444.58,0,3.67,46.76,49.57
Mount Laurel,NJ,30270,2.56,10.94,25.55,10.35,9.28,17.44,1.47,3.5,1.99,2.69,10.1,37.11,2.55,72.68,14.33,24.19,5.97,40.23,3.03,84.86,83.56,96.07,80.0,57.23,69.33,0.56,0.02540469111331351,93.9,81.9,0.91,21.07,0.0,103.28,0,1.28,11.46,87.26
Mount Pleasant,MI,23285,3.5,42.76,62.28,53.56,6.06,18.97,8.77,1.01,38.74,8.67,15.29,39.3,8.22,49.8,5.12,41.81,7.63,31.03,2.97,65.84,66.34,75.9,65.91,57.65,65.0,2.9,0.017607902082885978,94.2,37.88,0.98,36.1,0.0,358.01,0,8.482,56.604,34.914
Mount Vernon,NY,67153,2.67,12.81,26.3,12.37,13.13,28.42,9.57,25.7,11.8,11.54,29.22,20.41,7.41,60.93,12.13,31.02,11.64,27.42,3.25,57.46,50.89,67.87,58.68,60.28,70.55,9.55,0.015740175420308845,95.97,36.76,5.39,41.25,0.0,1446.56,1,5.3075,47.4425,47.25
Mountain View,CA,67460,2.25,8.87,29.23,11.77,8.73,16.05,4.05,4.19,6.22,6.41,13.37,40.75,3.17,75.75,32.45,22.37,7.68,41.18,2.93,72.73,70.62,86.26,72.37,65.28,71.9,2.56,0.022190927957308034,95.25,37.75,0.8,9.89,0.0,411.23,0,5.16,27.516666666666666,67.32
Munster,IN,19949,2.76,12.94,20.71,10.25,15.13,35.1,1.14,4.44,1.27,5.04,12.33,33.16,2.81,61.56,19.83,30.14,5.81,42.29,3.12,90.61,89.64,98.88,88.92,62.78,66.81,0.31,0.008371346934683443,97.74,88.83,0.0,29.94,0.0,199.2,0,0.58,28.63,70.79
Murfreesboro,TN,44922,2.63,20.71,38.51,24.46,8.8,21.71,5.47,0.09,15.99,10.5,23.03,27.24,5.97,64.7,19.64,25.58,15.19,27.63,3.02,70.01,66.06,80.64,68.79,69.2,74.64,5.68,0.035572770580116646,91.46,47.57,2.32,20.34,0.0,791.96,0,4.793333333333334,49.93,45.27666666666667
Murray,UT,31282,2.67,14.32,28.56,12.99,9.72,22.11,4.01,2.62,8.05,1.96,15.77,20.38,3.27,68.89,13.78,21.33,12.28,26.53,3.27,75.5,76.9,83.79,78.17,62.62,69.74,0.95,0.020299213605268207,94.86,60.97,0.63,25.67,0.0,275.53,0,6.47,61.2,32.33
Muskego,WI,16813,3.02,14.58,25.15,11.33,7.6,20.53,2.92,0.53,2.66,3.88,13.6,18.34,2.93,73.97,26.89,18.35,16.05,24.88,3.28,89.16,87.61,97.1,89.36,67.85,76.56,0.46,0.011657645869267829,96.6,84.79,1.02,30.1,0.0,29.8,0,1.53,35.34,63.13
Muskogee,OK,37708,2.5,13.67,24.46,11.63,16.42,36.05,11.68,0.07,22.47,11.28,31.06,15.97,6.21,51.58,17.39,26.93,17.49,22.43,3.03,65.86,61.7,70.86,69.68,55.53,64.9,4.29,0.06857961175347406,85.37,63.75,3.75,54.83,0.0,1153.03,0,8.39,53.865,37.745
Mustang,OK,10434,2.99,16.92,28.61,12.86,4.48,11.68,3.1,0.0,3.86,4.25,16.93,13.02,4.37,72.18,15.12,19.35,11.31,21.85,3.26,83.52,81.81,95.31,89.06,70.54,76.22,0.07,0.027889591719378954,92.31,77.72,1.72,54.3,0.0,171.7,0,7.42,64.84,27.73
Myrtle Beach,SC,24848,2.59,12.21,32.97,15.7,10.81,25.37,3.82,0.45,11.72,3.89,16.16,21.44,4.1,70.87,5.6,15.39,7.86,26.88,2.89,73.88,70.42,80.57,70.97,62.24,71.28,3.04,0.14987121699935607,72.06,46.68,0.91,27.28,0.0,1454.74,0,6.93,40.98,52.1
Nacogdoches,TX,30872,2.73,29.2,47.14,35.76,9.41,23.18,7.83,0.21,31.53,11.46,27.22,26.03,7.18,52.08,13.79,31.72,14.66,27.57,3.05,64.7,59.46,74.9,67.95,60.93,71.54,6.55,0.03067504534853589,92.27,41.77,3.48,44.03,0.0,689.27,0,6.745,64.455,28.8
Nanticoke,PA,12267,2.35,12.11,22.6,12.06,22.02,46.39,9.57,2.83,12.18,16.88,38.75,9.62,7.49,48.58,22.83,22.93,22.89,17.44,2.97,73.5,71.14,89.9,73.04,55.24,62.32,1.49,0.033993641477133775,92.6,60.48,11.27,70.5,0.0,149.98,0,5.59,44.18,50.23
Napa,CA,61842,2.59,12.51,24.69,11.81,13.09,27.94,7.33,1.59,7.73,7.97,19.24,19.18,4.78,61.92,13.53,25.18,11.64,26.31,3.04,73.0,70.47,82.63,74.31,57.08,68.1,1.45,0.01629960221208887,95.96,59.99,1.39,37.6,0.0,611.64,1,4.9350000000000005,36.394999999999996,58.67
Narragansett,RI,14985,2.56,16.55,34.42,22.54,10.13,22.45,4.68,0.99,13.03,3.47,12.82,37.07,5.3,66.82,8.5,29.0,7.62,32.57,2.99,76.57,76.47,86.59,85.01,63.13,76.25,1.26,0.15769102435769103,71.2,57.88,1.44,77.15,0.0,428.64,0,1.98,9.98,88.03
Natchez,MS,19460,2.54,14.5,23.98,11.82,15.67,35.04,15.81,0.85,31.79,15.56,31.12,18.69,12.38,47.77,14.39,27.69,13.11,31.42,3.12,53.27,47.08,52.64,54.68,64.71,67.96,10.44,0.051387461459403906,88.45,62.36,4.0,53.2,0.0,549.22,0,14.99,45.72,39.29
Natchitoches,LA,16609,3.11,25.63,37.21,25.06,11.51,28.39,17.48,0.0,39.79,17.18,32.7,22.05,14.52,46.72,10.92,37.62,13.25,25.35,3.31,51.34,42.01,45.91,52.0,64.64,70.61,12.57,0.04551749051718947,87.59,53.87,5.95,64.68,0.0,788.52,0,17.87,58.07,24.06
Natick,MA,30510,2.54,10.33,25.56,10.99,11.7,24.3,4.15,7.12,3.15,2.73,9.54,42.39,4.73,71.33,14.08,31.6,5.77,41.47,3.04,83.8,81.76,96.11,88.45,64.47,73.63,0.9,0.020845624385447393,94.97,66.78,0.47,21.86,0.0,186.52,0,2.39,18.61,79.0
National City,CA,54249,3.67,19.27,37.89,21.93,8.32,22.5,20.05,6.02,21.34,21.16,41.07,9.06,8.18,60.95,18.33,18.19,18.9,13.51,3.63,63.14,57.94,70.36,63.66,46.64,53.49,5.57,0.00866375417058379,96.92,35.46,1.49,23.4,0.0,1469.9,0,8.18,68.1,23.72
Naugatuck,CT,30625,2.7,12.72,27.14,12.15,11.0,25.27,3.51,0.75,4.22,9.51,21.84,17.02,5.21,69.06,29.21,20.59,17.13,24.6,3.2,81.87,80.06,91.22,82.24,62.84,72.04,1.64,0.019591836734693877,94.97,67.13,0.83,44.17,0.0,80.73,0,3.23,59.82,36.95
Nederland,TX,16192,2.61,13.59,25.01,11.43,10.2,25.03,2.91,0.0,6.69,5.17,15.74,13.87,3.85,62.53,23.2,23.43,13.15,22.78,3.06,81.56,79.17,88.07,89.3,55.67,60.13,0.36,0.017663043478260868,95.6,72.98,4.55,45.8,0.0,133.38,0,3.79,45.88,50.32
Neenah,WI,23219,2.57,12.52,25.51,10.96,10.72,26.04,5.58,0.59,5.96,6.0,15.89,20.5,4.46,65.18,39.46,20.26,22.75,23.23,3.09,78.96,79.29,85.15,81.46,62.63,69.78,1.66,0.01020715793100478,97.44,67.13,1.27,36.71,0.0,174.98,0,2.43,33.66,63.91
Neptune,NJ,28148,2.71,11.82,23.2,10.65,14.35,32.09,6.19,2.51,7.79,7.57,21.98,20.22,5.76,62.11,12.07,27.96,12.95,28.59,3.18,70.94,62.62,83.28,73.84,68.71,73.69,4.75,0.049417365354554495,88.2,68.08,2.66,47.81,0.0,648.56,0,3.79,40.79,55.42
New Albany,IN,36322,2.47,13.3,25.89,12.42,14.62,31.56,9.07,1.2,15.48,13.67,31.74,12.92,6.96,58.25,21.39,23.71,19.43,22.85,2.95,63.66,59.35,72.48,63.21,63.28,70.64,3.0,0.02483343428225318,94.22,59.32,1.33,35.59,0.0,1280.84,0,6.33,48.5,45.17
New Bedford,MA,99922,2.58,13.62,27.07,13.19,15.38,34.68,17.15,3.47,16.78,31.05,50.34,9.72,12.16,52.14,27.76,20.82,25.85,16.98,3.09,63.01,60.85,66.99,68.07,58.68,66.4,5.12,0.029743199695762695,92.88,43.84,8.38,42.83,5.9146133984507916e-05,1432.64,0,5.715,73.225,21.060000000000002
New Berlin,WI,33592,2.87,13.15,23.28,10.64,7.87,20.23,1.62,0.76,1.7,3.28,9.69,28.66,2.54,73.98,23.74,23.06,11.49,32.64,3.18,90.24,88.88,95.14,89.64,60.87,73.58,0.63,0.012115979995236961,96.64,84.63,0.25,10.32,0.0,113.19,0,1.71,19.085,79.21000000000001
New Bern,NC,17363,2.39,13.19,26.16,12.06,15.14,31.04,14.86,0.35,23.2,13.04,30.14,15.99,5.41,56.08,17.1,25.29,17.47,21.92,2.98,54.06,48.71,56.81,54.04,57.54,66.8,8.2,0.0437712376893394,90.53,50.78,4.87,39.34,0.0,2210.88,0,10.82,67.77,21.41
New Braunfels,TX,27334,2.73,14.16,25.06,12.17,15.71,34.37,5.73,0.0,14.93,18.05,31.59,18.53,5.93,56.78,18.22,24.48,15.94,25.91,3.17,76.73,71.92,88.74,78.21,63.79,71.98,0.86,0.039072217750786564,90.35,63.77,1.87,30.62,0.0,1726.58,0,4.61,36.88,58.51
New Britain,CT,75491,2.5,13.43,30.11,15.54,15.26,31.61,9.08,3.0,12.8,15.44,35.25,16.67,7.84,60.21,22.94,21.22,17.58,22.55,3.01,61.37,56.8,70.46,60.88,59.38,67.98,5.99,0.028678915367394787,93.3,43.11,2.73,30.81,9.325614973970406e-05,728.32,0,9.2,60.1,30.69
New Castle,IN,17753,2.44,14.18,26.25,12.61,14.72,36.23,8.66,0.35,19.72,16.46,36.54,7.94,11.23,53.61,24.24,26.52,21.7,18.05,2.94,67.32,64.52,71.77,72.27,65.42,70.47,1.72,0.030361065735368672,93.12,65.29,4.45,49.35,0.0,121.81,0,6.8933333333333335,53.669999999999995,39.43666666666667
New Haven,CT,130474,2.66,17.06,34.55,19.17,10.81,26.28,14.61,9.54,21.29,11.86,28.97,26.7,9.25,56.71,16.41,37.38,14.02,30.0,3.16,45.44,38.63,53.9,44.87,50.49,60.14,15.07,0.038865980961724174,90.62,31.78,10.18,32.97,2.3606235725125313e-05,2127.02,1,10.24,65.08,24.68
New Iberia,LA,31828,2.86,15.81,27.77,13.33,11.31,28.47,14.23,0.29,28.67,23.72,42.88,9.88,13.03,49.77,14.46,19.25,21.57,17.68,3.36,64.43,58.17,67.61,62.3,60.12,65.39,7.04,0.04031041849943446,89.67,61.12,5.14,53.16,0.0,345.46,0,13.77,54.86,31.37
New London,CT,28540,2.66,20.53,38.5,24.13,11.11,27.94,10.26,2.88,15.15,11.19,24.65,17.95,7.97,62.63,17.99,30.39,12.31,21.42,3.0,56.98,52.05,63.92,56.52,60.88,66.26,7.02,0.04407848633496846,89.49,36.91,5.01,28.7,0.0,710.78,1,18.83,76.22,4.95
New Milford,NJ,15990,2.59,10.56,23.23,10.78,15.8,31.65,2.3,8.8,2.2,7.21,18.46,25.49,5.73,63.43,14.92,23.58,7.89,32.32,3.13,85.2,83.7,95.54,81.12,53.38,63.92,0.84,0.011694809255784866,97.06,62.83,0.0,30.48,0.0,155.14,0,1.76,12.59,85.65
New Orleans,LA,496938,2.64,15.53,28.67,14.45,11.67,27.99,14.8,17.06,31.63,13.24,31.86,22.44,12.41,50.77,6.84,32.14,11.23,30.59,3.3,46.17,39.52,51.36,45.79,59.03,64.79,13.04,0.07513613368267269,83.45,43.71,17.54,52.46,1.0222603222132338e-05,2038.98,1,11.849200000000002,53.82,34.330799999999996
New Philadelphia,OH,15698,2.39,12.91,24.54,11.68,14.74,31.52,8.23,0.29,12.51,8.41,23.23,9.77,8.37,56.09,27.11,18.6,23.64,19.12,2.95,74.89,73.23,83.33,75.53,60.69,67.12,1.08,0.023506179131099505,94.68,65.97,2.44,32.25,0.0,173.57,0,4.4,36.72,58.89
New Port Richey,FL,14044,2.17,8.94,19.79,9.42,28.94,49.05,5.54,0.0,14.61,10.26,32.74,8.24,5.97,43.13,6.37,27.3,11.33,21.43,2.65,65.16,62.76,78.28,69.16,64.56,71.15,1.71,0.09591284534320707,82.78,64.78,0.74,35.63,0.0,522.13,0,7.1,57.3,35.59
New Providence,NJ,11439,2.7,9.9,21.33,10.02,12.28,25.1,2.04,7.98,2.45,4.91,9.49,48.6,2.71,69.32,12.85,24.24,4.86,43.97,3.1,90.92,90.33,93.16,88.69,56.45,66.83,0.38,0.007343299239444007,98.06,75.52,1.19,38.1,0.0,49.56,0,1.11,8.65,90.24
New Smyrna Beach,FL,16543,2.1,7.94,15.9,7.56,31.81,53.17,7.36,0.0,14.01,5.99,20.63,18.03,6.83,40.35,10.6,19.85,10.32,25.62,2.56,64.76,60.17,77.63,72.27,69.15,75.37,2.28,0.21785649519434203,68.6,70.17,0.44,15.59,0.0,559.59,0,5.14,31.816666666666666,63.04
New York,NY,7322564,2.6,13.06,27.46,13.09,11.62,24.6,13.12,54.33,19.29,14.1,31.68,22.98,8.98,56.12,11.41,28.4,11.64,30.55,3.27,57.64,52.24,67.42,59.25,47.37,56.42,10.5,0.0235939214734074,94.23,28.64,4.83,40.33,9.436585327215986e-07,2097.71,1,10.757105263157895,41.21184210526316,48.031052631578945
Newark,NJ,275221,3.01,16.79,31.88,16.08,8.51,24.5,22.23,24.89,26.34,21.97,48.79,8.55,14.71,51.51,20.62,22.28,26.45,14.14,3.55,43.2,34.59,48.41,44.71,53.87,59.85,20.0,0.03968083830812329,89.34,23.06,11.05,42.99,0.0,3928.03,1,6.835555555555556,69.15555555555557,24.00888888888889
Newberg,OR,13086,2.88,16.23,29.02,14.85,11.41,24.43,5.79,0.68,10.71,7.77,20.89,18.81,4.35,64.72,25.9,22.35,15.83,22.66,3.16,72.8,71.79,87.7,80.1,65.5,68.88,1.06,0.010010698456365581,97.2,58.7,1.53,21.37,0.0,235.04,0,3.44,56.95,39.61
Newberry,SC,10542,2.67,17.69,29.26,16.71,16.07,36.39,12.4,0.0,25.22,18.7,39.06,14.77,9.13,51.53,29.92,24.24,27.25,20.22,3.14,52.0,47.91,56.31,62.31,77.45,76.76,10.7,0.027983304875735155,93.05,61.75,3.73,64.07,0.0,1527.29,0,7.84,50.68,41.48
Newburgh,NY,26454,2.94,16.57,30.82,16.04,9.71,26.71,13.06,3.99,26.23,18.45,42.12,11.45,11.79,55.62,23.51,26.83,22.82,18.63,3.45,48.4,43.56,45.82,56.8,53.1,62.73,17.03,0.03731004762984804,90.13,35.44,14.89,49.95,0.0,1555.07,1,3.16,49.64,47.2
Newport,RI,28227,2.52,15.96,33.02,18.56,11.59,24.97,9.15,2.08,12.47,5.93,15.88,32.16,5.96,65.27,7.95,28.65,5.71,31.79,3.0,64.32,62.75,66.67,61.27,49.97,63.93,4.64,0.06724058525525206,85.5,41.6,0.95,37.09,0.00027243419421121623,1185.33,0,7.09,48.81,44.1
Newport Beach,CA,66643,2.16,9.53,25.02,11.89,13.93,21.36,2.07,0.95,5.67,1.1,4.69,50.25,3.01,67.46,13.44,24.45,3.45,48.84,2.67,77.69,77.12,91.37,81.13,44.23,56.16,0.92,0.06003631289107633,88.52,55.76,0.3,12.77,5.041789835391564e-05,387.2,0,4.85,22.91,72.24
Newport News,VA,170045,2.66,13.82,31.25,14.76,8.59,19.97,7.74,2.9,14.04,6.89,20.66,18.44,5.93,65.93,20.19,21.72,13.07,26.41,3.08,68.16,64.41,76.03,69.14,58.43,66.56,6.41,0.033967479196683234,91.72,50.03,3.83,33.24,4.692875415331236e-05,845.63,0,8.797142857142857,39.058571428571426,52.144285714285715
Newton,MA,82585,2.8,14.34,28.52,15.99,12.95,25.85,2.91,12.27,4.33,3.72,8.34,57.22,3.94,67.36,10.61,42.62,4.03,52.32,3.05,84.76,84.77,94.31,84.44,66.66,74.67,0.7,0.01261730338439184,96.58,68.91,0.29,38.58,0.0,256.34,0,2.79,51.54,45.67
Niagara Falls,NY,61840,2.38,12.62,24.51,12.09,17.36,38.44,12.73,3.0,18.64,11.7,32.33,9.75,10.83,51.23,22.77,24.86,19.64,17.95,3.01,58.52,57.24,62.44,67.03,53.02,63.99,6.18,0.04309508408796895,90.69,55.99,11.44,54.75,0.00010430142302716689,736.68,1,6.4475,58.504999999999995,35.05
Niceville,FL,10507,2.67,15.3,27.32,13.17,8.19,20.19,4.15,0.38,8.44,5.11,14.19,22.41,5.82,66.2,8.34,22.62,9.93,32.65,3.02,80.66,77.58,81.3,88.08,65.28,75.86,0.72,0.030360711906348148,92.51,66.71,0.94,34.8,0.0,190.95,0,6.73,53.21,40.07
Nicholasville,KY,13603,2.75,14.9,29.85,13.23,8.29,20.9,6.35,0.0,12.68,15.65,35.12,10.29,5.21,67.06,17.47,20.95,18.17,15.6,3.1,74.93,72.11,80.06,84.29,64.15,71.93,2.37,0.020069102403881496,94.77,63.45,0.37,45.42,0.0,471.89,0,5.82,64.66,29.52
